"Problem","File","Severity","Line","Column","Rule","Description","URL","Category","Engine"
"1","/Users/praveenrajr/Work/Salesforce/lwc-recipes/force-app/main/default/classes/AccountController.cls","3","1","27","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.30.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"2","/Users/praveenrajr/Work/Salesforce/lwc-recipes/force-app/main/default/classes/AccountController.cls","3","3","33","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.30.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"3","/Users/praveenrajr/Work/Salesforce/lwc-recipes/force-app/main/default/classes/AccountController.cls","3","8","27","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.30.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"4","/Users/praveenrajr/Work/Salesforce/lwc-recipes/force-app/main/default/classes/ApexTypesController.cls","3","1","27","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.30.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"5","/Users/praveenrajr/Work/Salesforce/lwc-recipes/force-app/main/default/classes/ApexTypesController.cls","3","3","26","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.30.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"6","/Users/praveenrajr/Work/Salesforce/lwc-recipes/force-app/main/default/classes/ApexTypesController.cls","3","6","16","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://pmd.github.io/pmd-6.30.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"7","/Users/praveenrajr/Work/Salesforce/lwc-recipes/force-app/main/default/classes/ContactController.cls","3","1","27","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.30.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"8","/Users/praveenrajr/Work/Salesforce/lwc-recipes/force-app/main/default/classes/ContactController.cls","3","3","33","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.30.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"9","/Users/praveenrajr/Work/Salesforce/lwc-recipes/force-app/main/default/classes/ContactController.cls","3","14","33","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.30.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"10","/Users/praveenrajr/Work/Salesforce/lwc-recipes/force-app/main/default/classes/ContactController.cls","3","26","27","ApexDoc","Missing ApexDoc comment","https://pmd.github.io/pmd-6.30.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
